https://www.instagram.com/p/DGJiIfzKAQr/,hashtags:,#YUCATÁN
username,comment_id,text
soniamendia,18036700490445706,"@linygomez como debe de ser, la única forma correcta, dar algo a alguien con la finalidad de que lo use"
throughmyeyes_0810,17986895237638605,"@soniamendia Es diferente, Si dices ""te presto"" 100 pesos? Cualquiera entendería lo correcto. Que YO TE PRESTO 100 pesos, aquí si te dicen ""Te presto 100pesos"" quiere decir que ellos te están pidiendo 100pesos. Lo dicen al revés. Ahora, si yo te di los 100 pesos, cualquiera diría ""Te preste 100pesos"", pero ellos no. Dicen ""Tengo prestados 100pesos""  o sea como si ellos te hubieran dado el dinero, pero es al revés. Si esta complicado de entender a la primera cuando te lo dicen jaja😂"
dovsuas10,18048775313214637,"@throughmyeyes_0810 asi me paso con una amiga de puebla, yo le habia prestado $20dls y ella le dijo a su esposo qe ella me los habia prestado ami y yo qede asi 👀 jajaja ya luego me explico bien."
soniamendia,17886002775123029,"@throughmyeyes_0810 totalmente es muy complicado de entender cuando te lo dicen a la primera vez, y a la segunda y a la tercera y todas las veces en realidad jajajaja entiendo que viene por las distintas culturas pero es que las reglas del idioma están por algo 🫠 si me van a pedir los 100 pesos para eso existe el verbo PEDIR y a cambio yo uso el PRESTAR, but it is what it is I guess? and don’t get me started with “LO BUSCO LO BUSCO Y NO LO BUSCO” DIOS ME EXPLOTA LA CABEZA JAJAJA 😂"
throughmyeyes_0810,17885486097218833,"@soniamendia Jajajaja ya sé 😂, Cuando llegué a vivir a la zona, se me perdió mi cel y le hable al chófer para que lo buscara porque quizá se cayó en el asiento o abajo, no sé que lo busque! Jaja y me dice ahorita lo busco.. ok espero.. marque de nuevo y le pregunté si encontró algo. Me dice ""No lo busco"", yo toda desesperada le dije ""Pues busca!"" Jaja ve abajo del asiento también y él ""es que no lo busco por ningún lado"", de nuevo yo ""ok te marco al rato"" yo pensando que iba a pararse a buscar. Jajajaja marco de nuevo y le pregunto, ya buscaste? Él ""Es que no lo busco"" 😂😂😂 yo toda frustrada, triste, enojada, jajaja le digo a mi novio. Es que ni siquiera lo busca!  Jajaja en fin, dicen por perdido mi cel. Como 3 meses después me entero que aquí así dicen cuando no lo encuentran! Jajajaja y yo presionando lo a cada rato. ""BÚSCALO"" 😂😂😂"
puffalumpa,18180015595330790,"@soniamendia se vale usar ""prestar"" Pero tendría que ser ""préstame 100 pesos"""
ivonne_ty,17947406573943928,Jajajajaja
jisrael_millan,17870619642296471,En maya para diferenciar entre buscar y encontrar la partícula «t’sook»
tmsky12,18485803459035726,Jaja eres bien chorera @tilasesto jaja mareaste a marco
erick_jimenezr,17994856988757628,Suena a pocho
yazmincc_242529,18106584655487128,Jajajajja si Tila igual es súper inteligente 👏jajaja el q no entiendo jajajajja pues jajajajja
helenakaliope,17912874515985275,😂😂😂que burrro
oshkal,18022482848416254,Ahora resulta que están p3nd3j0s por los Mayas
soylestrange,17959720178889356,😂😂😂😂
